state,gender,legal,indigenous,date,count
1,1,4,2,2005/12/01,5190
1,2,4,2,2005/12/01,325
1,1,2,3,2005/12/01,137
1,2,2,3,2005/12/01,10
1,1,3,3,2005/12/01,NA
1,2,3,3,2005/12/01,NA
1,1,4,3,2005/12/01,69
1,2,4,3,2005/12/01,3
1,1,2,1,2006/03/01,391
1,2,2,1,2006/03/01,55
1,1,3,1,2006/03/01,NA
1,2,3,1,2006/03/01,NA
1,1,4,1,2006/03/01,1278
1,2,4,1,2006/03/01,120
1,1,2,2,2006/03/01,1406
1,2,2,2,2006/03/01,124
1,1,3,2,2006/03/01,NA
1,2,3,2,2006/03/01,NA
1,1,4,2,2006/03/01,5148
1,2,4,2,2006/03/01,327
1,1,2,3,2006/03/01,170
1,2,2,3,2006/03/01,12
1,1,3,3,2006/03/01,NA
1,2,3,3,2006/03/01,NA
1,1,4,3,2006/03/01,67
1,2,4,3,2006/03/01,5
1,1,2,1,2006/06/01,402
1,2,2,1,2006/06/01,53
1,1,3,1,2006/06/01,NA
1,2,3,1,2006/06/01,NA
1,1,4,1,2006/06/01,1332
1,2,4,1,2006/06/01,137
1,1,2,2,2006/06/01,1428
1,2,2,2,2006/06/01,129
1,1,3,2,2006/06/01,NA
1,2,3,2,2006/06/01,NA
1,1,4,2,2006/06/01,5194
1,2,4,2,2006/06/01,319
1,1,2,3,2006/06/01,175
1,2,2,3,2006/06/01,12
1,1,3,3,2006/06/01,NA
1,2,3,3,2006/06/01,NA
1,1,4,3,2006/06/01,68
1,2,4,3,2006/06/01,7
1,1,2,1,2006/09/01,365
1,2,2,1,2006/09/01,53
1,1,3,1,2006/09/01,NA
1,2,3,1,2006/09/01,NA
1,1,4,1,2006/09/01,1361
1,2,4,1,2006/09/01,153
1,1,2,2,2006/09/01,1471
1,2,2,2,2006/09/01,128
1,1,3,2,2006/09/01,NA
1,2,3,2,2006/09/01,NA
1,1,4,2,2006/09/01,5173
1,2,4,2,2006/09/01,326
1,1,2,3,2006/09/01,195
1,2,2,3,2006/09/01,21
1,1,3,3,2006/09/01,NA
1,2,3,3,2006/09/01,NA
1,1,4,3,2006/09/01,37
1,2,4,3,2006/09/01,5
1,1,2,1,2006/12/01,378
1,2,2,1,2006/12/01,64
1,1,3,1,2006/12/01,NA
1,2,3,1,2006/12/01,NA
1,1,4,1,2006/12/01,1372
1,2,4,1,2006/12/01,139
1,1,2,2,2006/12/01,1487
1,2,2,2,2006/12/01,122
1,1,3,2,2006/12/01,NA
1,2,3,2,2006/12/01,NA
1,1,4,2,2006/12/01,5255
1,2,4,2,2006/12/01,331
1,1,2,3,2006/12/01,209
1,2,2,3,2006/12/01,32
1,1,3,3,2006/12/01,NA
1,2,3,3,2006/12/01,NA
1,1,4,3,2006/12/01,34
1,2,4,3,2006/12/01,6
1,1,2,1,2007/03/01,389
1,2,2,1,2007/03/01,58
1,1,3,1,2007/03/01,NA
1,2,3,1,2007/03/01,NA
1,1,4,1,2007/03/01,1375
1,2,4,1,2007/03/01,134
1,1,2,2,2007/03/01,1523
1,2,2,2,2007/03/01,124
1,1,3,2,2007/03/01,NA
1,2,3,2,2007/03/01,NA
1,1,4,2,2007/03/01,5257
1,2,4,2,2007/03/01,323
1,1,2,3,2007/03/01,242
1,2,2,3,2007/03/01,35
1,1,3,3,2007/03/01,NA
1,2,3,3,2007/03/01,NA
1,1,4,3,2007/03/01,32
1,2,4,3,2007/03/01,6
1,1,2,1,2007/06/01,397
1,2,2,1,2007/06/01,54
1,1,3,1,2007/06/01,NA
1,2,3,1,2007/06/01,NA
1,1,4,1,2007/06/01,1377
1,2,4,1,2007/06/01,150
1,1,2,2,2007/06/01,1557
1,2,2,2,2007/06/01,132
1,1,3,2,2007/06/01,NA
1,2,3,2,2007/06/01,NA
1,1,4,2,2007/06/01,5348
1,2,4,2,2007/06/01,334
1,1,2,3,2007/06/01,219
1,2,2,3,2007/06/01,23
1,1,3,3,2007/06/01,NA
1,2,3,3,2007/06/01,NA
1,1,4,3,2007/06/01,36
1,2,4,3,2007/06/01,4
1,1,2,1,2007/09/01,385
1,2,2,1,2007/09/01,63
1,1,3,1,2007/09/01,NA
1,2,3,1,2007/09/01,NA
1,1,4,1,2007/09/01,1381
1,2,4,1,2007/09/01,155
1,1,2,2,2007/09/01,1538
1,2,2,2,2007/09/01,127
1,1,3,2,2007/09/01,NA
1,2,3,2,2007/09/01,NA
1,1,4,2,2007/09/01,5334
1,2,4,2,2007/09/01,312
1,1,2,3,2007/09/01,244
1,2,2,3,2007/09/01,21
1,1,3,3,2007/09/01,NA
1,2,3,3,2007/09/01,NA
1,1,4,3,2007/09/01,31
1,2,4,3,2007/09/01,3
1,1,2,1,2007/12/01,401
1,2,2,1,2007/12/01,56
1,1,3,1,2007/12/01,NA
1,2,3,1,2007/12/01,NA
1,1,4,1,2007/12/01,1360
1,2,4,1,2007/12/01,149
1,1,2,2,2007/12/01,1588
1,2,2,2,2007/12/01,131
1,1,3,2,2007/12/01,NA
1,2,3,2,2007/12/01,NA
1,1,4,2,2007/12/01,5239
1,2,4,2,2007/12/01,318
1,1,2,3,2007/12/01,283
1,2,2,3,2007/12/01,12
1,1,3,3,2007/12/01,NA
1,2,3,3,2007/12/01,NA
1,1,4,3,2007/12/01,23
1,2,4,3,2007/12/01,0
1,1,2,1,2008/03/01,455
1,2,2,1,2008/03/01,59
1,1,3,1,2008/03/01,NA
1,2,3,1,2008/03/01,NA
1,1,4,1,2008/03/01,1343
1,2,4,1,2008/03/01,146
1,1,2,2,2008/03/01,1608
1,2,2,2,2008/03/01,129
1,1,3,2,2008/03/01,NA
1,2,3,2,2008/03/01,NA
1,1,4,2,2008/03/01,5238
1,2,4,2,2008/03/01,296
1,1,2,3,2008/03/01,291
1,2,2,3,2008/03/01,11
1,1,3,3,2008/03/01,NA
1,2,3,3,2008/03/01,NA
1,1,4,3,2008/03/01,25
1,2,4,3,2008/03/01,1
1,1,2,1,2008/06/01,442
1,2,2,1,2008/06/01,64
1,1,3,1,2008/06/01,NA
1,2,3,1,2008/06/01,NA
1,1,4,1,2008/06/01,1382
1,2,4,1,2008/06/01,162
1,1,2,2,2008/06/01,1601
1,2,2,2,2008/06/01,133
1,1,3,2,2008/06/01,NA
1,2,3,2,2008/06/01,NA
1,1,4,2,2008/06/01,5280
1,2,4,2,2008/06/01,321
1,1,2,3,2008/06/01,320
1,2,2,3,2008/06/01,11
1,1,3,3,2008/06/01,NA
1,2,3,3,2008/06/01,NA
1,1,4,3,2008/06/01,41
1,2,4,3,2008/06/01,2
1,1,2,1,2008/09/01,413
1,2,2,1,2008/09/01,49
1,1,3,1,2008/09/01,NA
1,2,3,1,2008/09/01,NA
1,1,4,1,2008/09/01,1463
1,2,4,1,2008/09/01,165
1,1,2,2,2008/09/01,1643
1,2,2,2,2008/09/01,137
1,1,3,2,2008/09/01,NA
1,2,3,2,2008/09/01,NA
1,1,4,2,2008/09/01,5390
1,2,4,2,2008/09/01,347
1,1,2,3,2008/09/01,266
1,2,2,3,2008/09/01,15
1,1,3,3,2008/09/01,NA
1,2,3,3,2008/09/01,NA
1,1,4,3,2008/09/01,50
1,2,4,3,2008/09/01,2
1,1,2,1,2008/12/01,431
1,2,2,1,2008/12/01,55
1,1,3,1,2008/12/01,NA
1,2,3,1,2008/12/01,NA
1,1,4,1,2008/12/01,1441
1,2,4,1,2008/12/01,150
1,1,2,2,2008/12/01,1641
1,2,2,2,2008/12/01,141
1,1,3,2,2008/12/01,NA
1,2,3,2,2008/12/01,NA
1,1,4,2,2008/12/01,5366
1,2,4,2,2008/12/01,369
1,1,2,3,2008/12/01,252
1,2,2,3,2008/12/01,12
1,1,3,3,2008/12/01,NA
1,2,3,3,2008/12/01,NA
1,1,4,3,2008/12/01,68
1,2,4,3,2008/12/01,5
1,1,2,1,2009/03/01,506
1,2,2,1,2009/03/01,63
1,1,3,1,2009/03/01,NA
1,2,3,1,2009/03/01,NA
1,1,4,1,2009/03/01,1440
1,2,4,1,2009/03/01,156
1,1,2,2,2009/03/01,1747
1,2,2,2,2009/03/01,156
1,1,3,2,2009/03/01,NA
1,2,3,2,2009/03/01,NA
1,1,4,2,2009/03/01,5334
1,2,4,2,2009/03/01,350
1,1,2,3,2009/03/01,238
1,2,2,3,2009/03/01,15
1,1,3,3,2009/03/01,NA
1,2,3,3,2009/03/01,NA
1,1,4,3,2009/03/01,81
1,2,4,3,2009/03/01,5
1,1,2,1,2009/06/01,491
1,2,2,1,2009/06/01,59
1,1,3,1,2009/06/01,NA
1,2,3,1,2009/06/01,NA
1,1,4,1,2009/06/01,1556
1,2,4,1,2009/06/01,181
1,1,2,2,2009/06/01,1731
1,2,2,2,2009/06/01,161
1,1,3,2,2009/06/01,NA
1,2,3,2,2009/06/01,NA
1,1,4,2,2009/06/01,5479
1,2,4,2,2009/06/01,344
1,1,2,3,2009/06/01,255
1,2,2,3,2009/06/01,16
1,1,3,3,2009/06/01,NA
1,2,3,3,2009/06/01,NA
1,1,4,3,2009/06/01,107
1,2,4,3,2009/06/01,6
1,1,2,1,2009/09/01,473
1,2,2,1,2009/09/01,58
1,1,3,1,2009/09/01,NA
1,2,3,1,2009/09/01,NA
1,1,4,1,2009/09/01,1592
1,2,4,1,2009/09/01,171
1,1,2,2,2009/09/01,1737
1,2,2,2,2009/09/01,142
1,1,3,2,2009/09/01,NA
1,2,3,2,2009/09/01,NA
1,1,4,2,2009/09/01,5435
1,2,4,2,2009/09/01,366
1,1,2,3,2009/09/01,274
1,2,2,3,2009/09/01,22
1,1,3,3,2009/09/01,NA
1,2,3,3,2009/09/01,NA
1,1,4,3,2009/09/01,120
1,2,4,3,2009/09/01,9
1,1,2,1,2009/12/01,445
1,2,2,1,2009/12/01,51
1,1,3,1,2009/12/01,NA
1,2,3,1,2009/12/01,NA
1,1,4,1,2009/12/01,1604
1,2,4,1,2009/12/01,174
1,1,2,2,2009/12/01,1656
1,2,2,2,2009/12/01,126
1,1,3,2,2009/12/01,NA
1,2,3,2,2009/12/01,NA
1,1,4,2,2009/12/01,5438
1,2,4,2,2009/12/01,373
1,1,2,3,2009/12/01,288
1,2,2,3,2009/12/01,30
1,1,3,3,2009/12/01,NA
1,2,3,3,2009/12/01,NA
1,1,4,3,2009/12/01,148
1,2,4,3,2009/12/01,15
1,1,2,1,2010/03/01,472
1,2,2,1,2010/03/01,64
1,1,3,1,2010/03/01,NA
1,2,3,1,2010/03/01,NA
1,1,4,1,2010/03/01,1577
1,2,4,1,2010/03/01,163
1,1,2,2,2010/03/01,1739
1,2,2,2,2010/03/01,118
1,1,3,2,2010/03/01,NA
1,2,3,2,2010/03/01,NA
1,1,4,2,2010/03/01,5263
1,2,4,2,2010/03/01,362
1,1,2,3,2010/03/01,308
1,2,2,3,2010/03/01,35
1,1,3,3,2010/03/01,NA
1,2,3,3,2010/03/01,NA
1,1,4,3,2010/03/01,166
1,2,4,3,2010/03/01,15
1,1,2,1,2010/06/01,522
1,2,2,1,2010/06/01,54
1,1,3,1,2010/06/01,NA
1,2,3,1,2010/06/01,NA
1,1,4,1,2010/06/01,1589
1,2,4,1,2010/06/01,166
1,1,2,2,2010/06/01,1733
1,2,2,2,2010/06/01,127
1,1,3,2,2010/06/01,NA
1,2,3,2,2010/06/01,NA
1,1,4,2,2010/06/01,5307
1,2,4,2,2010/06/01,374
1,1,2,3,2010/06/01,306
1,2,2,3,2010/06/01,36
1,1,3,3,2010/06/01,NA
1,2,3,3,2010/06/01,NA
1,1,4,3,2010/06/01,195
1,2,4,3,2010/06/01,18
1,1,2,1,2010/09/01,470
1,2,2,1,2010/09/01,49
1,1,3,1,2010/09/01,NA
1,2,3,1,2010/09/01,NA
1,1,4,1,2010/09/01,1586
1,2,4,1,2010/09/01,155
1,1,2,2,2010/09/01,1688
1,2,2,2,2010/09/01,115
1,1,3,2,2010/09/01,NA
1,2,3,2,2010/09/01,NA
1,1,4,2,2010/09/01,5351
1,2,4,2,2010/09/01,382
1,1,2,3,2010/09/01,240
1,2,2,3,2010/09/01,29
1,1,3,3,2010/09/01,NA
1,2,3,3,2010/09/01,NA
1,1,4,3,2010/09/01,153
1,2,4,3,2010/09/01,18
1,1,2,1,2010/12/01,430
1,2,2,1,2010/12/01,54
1,1,3,1,2010/12/01,NA
1,2,3,1,2010/12/01,NA
1,1,4,1,2010/12/01,1595
1,2,4,1,2010/12/01,146
1,1,2,2,2010/12/01,1680
1,2,2,2,2010/12/01,111
1,1,3,2,2010/12/01,NA
1,2,3,2,2010/12/01,NA
1,1,4,2,2010/12/01,5331
1,2,4,2,2010/12/01,381
1,1,2,3,2010/12/01,220
1,2,2,3,2010/12/01,28
1,1,3,3,2010/12/01,NA
1,2,3,3,2010/12/01,NA
1,1,4,3,2010/12/01,106
1,2,4,3,2010/12/01,18
1,1,2,1,2011/03/01,486
1,2,2,1,2011/03/01,57
1,1,3,1,2011/03/01,NA
1,2,3,1,2011/03/01,NA
1,1,4,1,2011/03/01,1505
1,2,4,1,2011/03/01,134
1,1,2,2,2011/03/01,1818
1,2,2,2,2011/03/01,113
1,1,3,2,2011/03/01,NA
1,2,3,2,2011/03/01,NA
1,1,4,2,2011/03/01,5169
1,2,4,2,2011/03/01,355
1,1,2,3,2011/03/01,260
1,2,2,3,2011/03/01,22
1,1,3,3,2011/03/01,NA
1,2,3,3,2011/03/01,NA
1,1,4,3,2011/03/01,75
1,2,4,3,2011/03/01,12
1,1,2,1,2011/06/01,525
1,2,2,1,2011/06/01,58
1,1,3,1,2011/06/01,NA
1,2,3,1,2011/06/01,NA
1,1,4,1,2011/06/01,1559
1,2,4,1,2011/06/01,131
1,1,2,2,2011/06/01,1908
1,2,2,2,2011/06/01,121
1,1,3,2,2011/06/01,NA
1,2,3,2,2011/06/01,NA
1,1,4,2,2011/06/01,5142
1,2,4,2,2011/06/01,347
1,1,2,3,2011/06/01,232
1,2,2,3,2011/06/01,22
1,1,3,3,2011/06/01,NA
1,2,3,3,2011/06/01,NA
1,1,4,3,2011/06/01,62
1,2,4,3,2011/06/01,10
1,1,2,1,2011/09/01,517
1,2,2,1,2011/09/01,68
1,1,3,1,2011/09/01,NA
1,2,3,1,2011/09/01,NA
1,1,4,1,2011/09/01,1536
1,2,4,1,2011/09/01,132
1,1,2,2,2011/09/01,1851
1,2,2,2,2011/09/01,119
1,1,3,2,2011/09/01,NA
1,2,3,2,2011/09/01,NA
1,1,4,2,2011/09/01,5129
1,2,4,2,2011/09/01,349
1,1,2,3,2011/09/01,201
1,2,2,3,2011/09/01,14
1,1,3,3,2011/09/01,NA
1,2,3,3,2011/09/01,NA
1,1,4,3,2011/09/01,42
1,2,4,3,2011/09/01,6
1,1,2,1,2011/12/01,508
1,2,2,1,2011/12/01,58
1,1,3,1,2011/12/01,NA
1,2,3,1,2011/12/01,NA
1,1,4,1,2011/12/01,1489
1,2,4,1,2011/12/01,126
1,1,2,2,2011/12/01,1805
1,2,2,2,2011/12/01,121
1,1,3,2,2011/12/01,NA
1,2,3,2,2011/12/01,NA
1,1,4,2,2011/12/01,5122
1,2,4,2,2011/12/01,325
1,1,2,3,2011/12/01,198
1,2,2,3,2011/12/01,14
1,1,3,3,2011/12/01,NA
1,2,3,3,2011/12/01,NA
1,1,4,3,2011/12/01,37
1,2,4,3,2011/12/01,4
1,1,2,1,2012/03/01,527
1,2,2,1,2012/03/01,59
1,1,3,1,2012/03/01,NA
1,2,3,1,2012/03/01,NA
1,1,4,1,2012/03/01,1467
1,2,4,1,2012/03/01,132
1,1,2,2,2012/03/01,1767
1,2,2,2,2012/03/01,129
1,1,3,2,2012/03/01,NA
1,2,3,2,2012/03/01,NA
1,1,4,2,2012/03/01,5041
1,2,4,2,2012/03/01,303
1,1,2,3,2012/03/01,229
1,2,2,3,2012/03/01,20
1,1,3,3,2012/03/01,NA
1,2,3,3,2012/03/01,NA
1,1,4,3,2012/03/01,41
1,2,4,3,2012/03/01,3
1,1,2,1,2012/06/01,499
1,2,2,1,2012/06/01,63
1,1,3,1,2012/06/01,NA
1,2,3,1,2012/06/01,NA
1,1,4,1,2012/06/01,1486
1,2,4,1,2012/06/01,122
1,1,2,2,2012/06/01,1735
1,2,2,2,2012/06/01,124
1,1,3,2,2012/06/01,NA
1,2,3,2,2012/06/01,NA
1,1,4,2,2012/06/01,5101
1,2,4,2,2012/06/01,311
1,1,2,3,2012/06/01,220
1,2,2,3,2012/06/01,17
1,1,3,3,2012/06/01,NA
1,2,3,3,2012/06/01,NA
1,1,4,3,2012/06/01,41
1,2,4,3,2012/06/01,3
1,1,2,1,2012/09/01,457
1,2,2,1,2012/09/01,71
1,1,3,1,2012/09/01,NA
1,2,3,1,2012/09/01,NA
1,1,4,1,2012/09/01,1517
1,2,4,1,2012/09/01,120
1,1,2,2,2012/09/01,1747
1,2,2,2,2012/09/01,135
1,1,3,2,2012/09/01,NA
1,2,3,2,2012/09/01,NA
1,1,4,2,2012/09/01,5061
1,2,4,2,2012/09/01,315
1,1,2,3,2012/09/01,167
1,2,2,3,2012/09/01,10
1,1,3,3,2012/09/01,NA
1,2,3,3,2012/09/01,NA
1,1,4,3,2012/09/01,35
1,2,4,3,2012/09/01,4
1,1,2,1,2012/12/01,511
1,2,2,1,2012/12/01,80
1,1,3,1,2012/12/01,NA
1,2,3,1,2012/12/01,NA
1,1,4,1,2012/12/01,1487
1,2,4,1,2012/12/01,125
1,1,2,2,2012/12/01,1831
1,2,2,2,2012/12/01,122
1,1,3,2,2012/12/01,NA
1,2,3,2,2012/12/01,NA
1,1,4,2,2012/12/01,5048
1,2,4,2,2012/12/01,313
1,1,2,3,2012/12/01,156
1,2,2,3,2012/12/01,12
1,1,3,3,2012/12/01,NA
1,2,3,3,2012/12/01,NA
1,1,4,3,2012/12/01,34
1,2,4,3,2012/12/01,1
1,1,2,1,2013/03/01,596
1,2,2,1,2013/03/01,92
1,1,3,1,2013/03/01,NA
1,2,3,1,2013/03/01,NA
1,1,4,1,2013/03/01,1485
1,2,4,1,2013/03/01,116
1,1,2,2,2013/03/01,1871
1,2,2,2,2013/03/01,126
1,1,3,2,2013/03/01,NA
1,2,3,2,2013/03/01,NA
1,1,4,2,2013/03/01,5027
1,2,4,2,2013/03/01,331
1,1,2,3,2013/03/01,168
1,2,2,3,2013/03/01,13
1,1,3,3,2013/03/01,NA
1,2,3,3,2013/03/01,NA
1,1,4,3,2013/03/01,32
1,2,4,3,2013/03/01,2
1,1,2,1,2013/06/01,600
1,2,2,1,2013/06/01,85
1,1,3,1,2013/06/01,NA
1,2,3,1,2013/06/01,NA
1,1,4,1,2013/06/01,1537
1,2,4,1,2013/06/01,126
1,1,2,2,2013/06/01,1914
1,2,2,2,2013/06/01,126
1,1,3,2,2013/06/01,NA
1,2,3,2,2013/06/01,NA
1,1,4,2,2013/06/01,5075
1,2,4,2,2013/06/01,340
1,1,2,3,2013/06/01,180
1,2,2,3,2013/06/01,16
1,1,3,3,2013/06/01,NA
1,2,3,3,2013/06/01,NA
1,1,4,3,2013/06/01,30
1,2,4,3,2013/06/01,1
1,1,2,1,2013/09/01,554
1,2,2,1,2013/09/01,82
1,1,3,1,2013/09/01,NA
1,2,3,1,2013/09/01,NA
1,1,4,1,2013/09/01,1570
1,2,4,1,2013/09/01,129
1,1,2,2,2013/09/01,1890
1,2,2,2,2013/09/01,131
1,1,3,2,2013/09/01,NA
1,2,3,2,2013/09/01,NA
1,1,4,2,2013/09/01,5106
1,2,4,2,2013/09/01,324
1,1,2,3,2013/09/01,176
1,2,2,3,2013/09/01,19
1,1,3,3,2013/09/01,NA
1,2,3,3,2013/09/01,NA
1,1,4,3,2013/09/01,81
1,2,4,3,2013/09/01,7
1,1,2,1,2013/12/01,563
1,2,2,1,2013/12/01,89
1,1,3,1,2013/12/01,NA
1,2,3,1,2013/12/01,NA
1,1,4,1,2013/12/01,1615
1,2,4,1,2013/12/01,134
1,1,2,2,2013/12/01,1896
1,2,2,2,2013/12/01,133
1,1,3,2,2013/12/01,NA
1,2,3,2,2013/12/01,NA
1,1,4,2,2013/12/01,5281
1,2,4,2,2013/12/01,326
1,1,2,3,2013/12/01,197
1,2,2,3,2013/12/01,17
1,1,3,3,2013/12/01,NA
1,2,3,3,2013/12/01,NA
1,1,4,3,2013/12/01,29
1,2,4,3,2013/12/01,0
1,1,2,1,2014/03/01,656
1,2,2,1,2014/03/01,94
1,1,3,1,2014/03/01,NA
1,2,3,1,2014/03/01,NA
1,1,4,1,2014/03/01,1654
1,2,4,1,2014/03/01,155
1,1,2,2,2014/03/01,2076
1,2,2,2,2014/03/01,159
1,1,3,2,2014/03/01,NA
1,2,3,2,2014/03/01,NA
1,1,4,2,2014/03/01,5262
1,2,4,2,2014/03/01,320
1,1,2,3,2014/03/01,169
1,2,2,3,2014/03/01,9
1,1,3,3,2014/03/01,NA
1,2,3,3,2014/03/01,NA
1,1,4,3,2014/03/01,24
1,2,4,3,2014/03/01,2
1,1,2,1,2014/06/01,623
1,2,2,1,2014/06/01,93
1,1,3,1,2014/06/01,NA
1,2,3,1,2014/06/01,NA
1,1,4,1,2014/06/01,1733
1,2,4,1,2014/06/01,164
1,1,2,2,2014/06/01,2150
1,2,2,2,2014/06/01,173
1,1,3,2,2014/06/01,NA
1,2,3,2,2014/06/01,NA
1,1,4,2,2014/06/01,5446
1,2,4,2,2014/06/01,333
1,1,2,3,2014/06/01,163
1,2,2,3,2014/06/01,1
1,1,3,3,2014/06/01,NA
1,2,3,3,2014/06/01,NA
1,1,4,3,2014/06/01,26
1,2,4,3,2014/06/01,1
1,1,2,1,2014/09/01,553
1,2,2,1,2014/09/01,70
1,1,3,1,2014/09/01,NA
1,2,3,1,2014/09/01,NA
1,1,4,1,2014/09/01,1685
1,2,4,1,2014/09/01,172
1,1,2,2,2014/09/01,1938
1,2,2,2,2014/09/01,150
1,1,3,2,2014/09/01,NA
1,2,3,2,2014/09/01,NA
1,1,4,2,2014/09/01,5547
1,2,4,2,2014/09/01,329
1,1,2,3,2014/09/01,103
1,2,2,3,2014/09/01,1
1,1,3,3,2014/09/01,NA
1,2,3,3,2014/09/01,NA
1,1,4,3,2014/09/01,22
1,2,4,3,2014/09/01,1
1,1,2,1,2014/12/01,552
1,2,2,1,2014/12/01,72
1,1,3,1,2014/12/01,NA
1,2,3,1,2014/12/01,NA
1,1,4,1,2014/12/01,1667
1,2,4,1,2014/12/01,167
1,1,2,2,2014/12/01,1964
1,2,2,2,2014/12/01,151
1,1,3,2,2014/12/01,NA
1,2,3,2,2014/12/01,NA
1,1,4,2,2014/12/01,5549
1,2,4,2,2014/12/01,330
1,1,2,3,2014/12/01,123
1,2,2,3,2014/12/01,0
1,1,3,3,2014/12/01,NA
1,2,3,3,2014/12/01,NA
1,1,4,3,2014/12/01,15
1,2,4,3,2014/12/01,0
1,1,2,1,2015/03/01,681
1,2,2,1,2015/03/01,95
1,1,3,1,2015/03/01,NA
1,2,3,1,2015/03/01,NA
1,1,4,1,2015/03/01,1702
1,2,4,1,2015/03/01,160
1,1,2,2,2015/03/01,2257
1,2,2,2,2015/03/01,188
1,1,3,2,2015/03/01,NA
1,2,3,2,2015/03/01,NA
1,1,4,2,2015/03/01,5434
1,2,4,2,2015/03/01,330
1,1,2,3,2015/03/01,186
1,2,2,3,2015/03/01,15
1,1,3,3,2015/03/01,NA
1,2,3,3,2015/03/01,NA
1,1,4,3,2015/03/01,54
1,2,4,3,2015/03/01,3
1,1,2,1,2015/06/01,741
1,2,2,1,2015/06/01,106
1,1,3,1,2015/06/01,0
1,2,3,1,2015/06/01,0
1,1,4,1,2015/06/01,1815
1,2,4,1,2015/06/01,181
1,1,2,2,2015/06/01,2465
1,2,2,2,2015/06/01,184
1,1,3,2,2015/06/01,2
1,2,3,2,2015/06/01,0
1,1,4,2,2015/06/01,5650
1,2,4,2,2015/06/01,359
1,1,2,3,2015/06/01,72
1,2,2,3,2015/06/01,13
1,1,3,3,2015/06/01,0
1,2,3,3,2015/06/01,0
1,1,4,3,2015/06/01,26
1,2,4,3,2015/06/01,3
1,1,2,1,2015/09/01,776
1,2,2,1,2015/09/01,102
1,1,3,1,2015/09/01,1
1,2,3,1,2015/09/01,0
1,1,4,1,2015/09/01,1807
1,2,4,1,2015/09/01,188
1,1,2,2,2015/09/01,2592
1,2,2,2,2015/09/01,187
1,1,3,2,2015/09/01,2
1,2,3,2,2015/09/01,0
1,1,4,2,2015/09/01,5773
1,2,4,2,2015/09/01,386
1,1,2,3,2015/09/01,63
1,2,2,3,2015/09/01,16
1,1,3,3,2015/09/01,0
1,2,3,3,2015/09/01,0
1,1,4,3,2015/09/01,12
1,2,4,3,2015/09/01,1
1,1,2,1,2015/12/01,784
1,2,2,1,2015/12/01,97
1,1,3,1,2015/12/01,0
1,2,3,1,2015/12/01,0
1,1,4,1,2015/12/01,1911
1,2,4,1,2015/12/01,195
1,1,2,2,2015/12/01,2645
1,2,2,2,2015/12/01,196
1,1,3,2,2015/12/01,3
1,2,3,2,2015/12/01,0
1,1,4,2,2015/12/01,5882
1,2,4,2,2015/12/01,375
1,1,2,3,2015/12/01,61
1,2,2,3,2015/12/01,12
1,1,3,3,2015/12/01,0
1,2,3,3,2015/12/01,0
1,1,4,3,2015/12/01,19
1,2,4,3,2015/12/01,0
1,1,2,1,2016/03/01,820
1,2,2,1,2016/03/01,107
1,1,3,1,2016/03/01,0
1,2,3,1,2016/03/01,0
1,1,4,1,2016/03/01,1877
1,2,4,1,2016/03/01,177
1,1,2,2,2016/03/01,2848
